user_id,age,gender,location,preferences
U00001,39.0,Male,Chandigarh,"{""categories"": [""Clothing"", ""Electronics"", ""Sports""], ""brands"": [""H&M"", ""Adidas"", ""LG"", ""Apple"", ""Wilson""], ""price_range"": {""min"": 2314, ""max"": 44508}}"
U00002,20.0,Male,Chandigarh,"{""categories"": [""Clothing"", ""Beauty""], ""brands"": [""Van Heusen"", ""Nike"", ""Lakme"", ""The Body Shop""], ""price_range"": {""min"": 1005, ""max"": 8438}}"
U00003,32.0,Male,Hyderabad,"{""categories"": [""Books""], ""brands"": [""Cambridge"", ""Pearson""], ""price_range"": {""min"": 1874, ""max"": 32532}}"
U00004,29.0,Male,Mumbai,"{""categories"": [""Books"", ""Sports""], ""brands"": [""Pearson"", ""Cambridge"", ""Reebok"", ""Adidas""], ""price_range"": {""min"": 1662, ""max"": 8561}}"
U00005,52.0,Male,Ahmedabad,"{""categories"": [""Beauty"", ""Toys"", ""Electronics""], ""brands"": [""The Body Shop"", ""Maybelline"", ""Nerf"", ""Fisher-Price"", ""Xiaomi""], ""price_range"": {""min"": 3673, ""max"": 19300}}"
U00006,31.0,Male,Bangalore,"{""categories"": [""Books"", ""Toys"", ""Home & Kitchen""], ""brands"": [""Penguin"", ""Pearson"", ""Fisher-Price"", ""Lego"", ""Bosch""], ""price_range"": {""min"": 2255, ""max"": 24414}}"
U00007,50.0,Female,Kolkata,"{""categories"": [""Beauty"", ""Toys""], ""brands"": [""Lakme"", ""Garnier"", ""Fisher-Price"", ""Hot Wheels""], ""price_range"": {""min"": 3676, ""max"": 15549}}"
U00008,23.0,Other,Delhi,"{""categories"": [""Toys""], ""brands"": [""Lego"", ""Hot Wheels""], ""price_range"": {""min"": 1219, ""max"": 30519}}"
U00009,21.0,Female,Chennai,"{""categories"": [""Sports""], ""brands"": [""Yonex"", ""Adidas""], ""price_range"": {""min"": 456, ""max"": 46230}}"
U00010,55.0,Male,Kochi,"{""categories"": [""Clothing"", ""Electronics"", ""Sports""], ""brands"": [""Levis"", ""Van Heusen"", ""OnePlus"", ""Samsung"", ""Decathlon""], ""price_range"": {""min"": 4118, ""max"": 21784}}"
U00011,30.0,Female,Nagpur,"{""categories"": [""Clothing"", ""Books""], ""brands"": [""H&M"", ""Levis"", ""Pearson"", ""Scholastic""], ""price_range"": {""min"": 1232, ""max"": 29831}}"
U00012,26.0,Male,Bangalore,"{""categories"": [""Sports"", ""Home & Kitchen"", ""Clothing""], ""brands"": [""Wilson"", ""Puma"", ""Pigeon"", ""Havells"", ""Puma""], ""price_range"": {""min"": 1760, ""max"": 39242}}"
U00013,38.0,Female,Kochi,"{""categories"": [""Books"", ""Clothing"", ""Grocery""], ""brands"": [""Oxford"", ""Scholastic"", ""Levis"", ""Zara"", ""Britannia""], ""price_range"": {""min"": 2794, ""max"": 8000}}"
U00014,40.0,Female,Hyderabad,"{""categories"": [""Electronics"", ""Toys""], ""brands"": [""Xiaomi"", ""LG"", ""Mattel"", ""Lego""], ""price_range"": {""min"": 2684, ""max"": 48026}}"
U00015,40.0,Female,Hyderabad,"{""categories"": [""Sports"", ""Clothing"", ""Grocery""], ""brands"": [""Reebok"", ""Decathlon"", ""Peter England"", ""Adidas"", ""Britannia""], ""price_range"": {""min"": 2285, ""max"": 29584}}"
U00016,32.0,Female,Hyderabad,"{""categories"": [""Beauty"", ""Sports""], ""brands"": [""Dove"", ""Nivea"", ""Yonex"", ""Reebok""], ""price_range"": {""min"": 2357, ""max"": 29191}}"
U00017,46.0,Male,Kolkata,"{""categories"": [""Books"", ""Clothing"", ""Beauty""], ""brands"": [""Oxford"", ""Penguin"", ""Nike"", ""Van Heusen"", ""Lakme""], ""price_range"": {""min"": 3757, ""max"": 15533}}"
U00018,44.0,Male,Chandigarh,"{""categories"": [""Home & Kitchen"", ""Toys"", ""Sports""], ""brands"": [""IFB"", ""Havells"", ""Lego"", ""Fisher-Price"", ""Reebok""], ""price_range"": {""min"": 3426, ""max"": 36447}}"
U00019,53.0,Male,Ahmedabad,"{""categories"": [""Beauty"", ""Grocery""], ""brands"": [""The Body Shop"", ""Lakme"", ""Haldirams"", ""Patanjali""], ""price_range"": {""min"": 4306, ""max"": 53723}}"
U00020,48.0,Female,Delhi,"{""categories"": [""Beauty"", ""Toys""], ""brands"": [""Garnier"", ""LOreal"", ""Lego"", ""Mattel""], ""price_range"": {""min"": 3129, ""max"": 29685}}"
U00021,28.0,Female,Pune,"{""categories"": [""Home & Kitchen""], ""brands"": [""LG"", ""Prestige""], ""price_range"": {""min"": 1883, ""max"": 47428}}"
U00022,47.0,Male,Kochi,"{""categories"": [""Beauty"", ""Grocery""], ""brands"": [""The Body Shop"", ""Maybelline"", ""MTR"", ""Tata""], ""price_range"": {""min"": 3363, ""max"": 24071}}"
U00023,41.0,Female,Nagpur,"{""categories"": [""Beauty"", ""Toys"", ""Sports""], ""brands"": [""Dove"", ""The Body Shop"", ""Hasbro"", ""Nerf"", ""Puma""], ""price_range"": {""min"": 3119, ""max"": 16799}}"
