product_id,name,category,brand,price,rating,description,subcategory,num_reviews,stock,discount_percent,tags
P00001,Nivea Silver Lipstick Set,Beauty,Nivea,540.0,4.4,Nivea Silver Lipstick Set - Your secret to radiant skin. Premium formulation by Nivea. This budget-friendly product offers great value for money.,Lipstick,1529,102,0,Beauty|Nivea|Lipstick
P00002,Havells Smart Microwave Oven,Home & Kitchen,Havells,5510.0,3.7,Bring home Havells Smart Microwave Oven by Havells. Built for modern households. This premium product offers great value for money.,Microwave,413,435,30,Home & Kitchen|Havells|Microwave
P00003,Yonex Eco Cycling Helmet,Sports,Yonex,13360.0,3.7,Elevate your game with Yonex Eco Cycling Helmet by Yonex. Professional grade quality. This premium product offers great value for money.,Cycling Helmet,236,348,15,Sports|Yonex|Cycling Helmet
P00004,"Sony Smart TV 55"" Classic",Electronics,Sony,110730.0,3.6,"Experience cutting-edge technology with Sony Smart TV 55"" Classic. Features latest innovations from Sony. This premium product offers great value for money.",TV,1698,270,10,Electronics|Sony|TV
P00005,Haldirams Smart Honey 64g,Grocery,Haldirams,1680.0,3.4,Healthy living starts with Haldirams Smart Honey 64g. Fresh quality from Haldirams. This mid-range product offers great value for money.,Honey,733,106,0,Grocery|Haldirams|Honey
P00006,Learn Eco in 30 Days,Books,Penguin,130.0,4.0,Dive into Learn Eco in 30 Days. An enriching read published by Penguin. This budget-friendly product offers great value for money.,Fiction,701,71,0,Books|Penguin|Fiction
P00007,"OnePlus Laptop Pro Series 65""",Electronics,OnePlus,134490.0,3.8,"Experience cutting-edge technology with OnePlus Laptop Pro Series 65"". Features latest innovations from OnePlus. This premium product offers great value for money.",Laptop,647,188,25,Electronics|OnePlus|Laptop
P00008,Patanjali Premium Flour 32kg,Grocery,Patanjali,210.0,3.8,Patanjali Premium Flour 32kg - Goodness in every bite. Premium selection from Patanjali. This budget-friendly product offers great value for money.,Flour,475,20,0,Grocery|Patanjali|Flour
P00009,Peter England Ultra Hoodie,Clothing,Peter England,9740.0,3.5,"Express yourself with Peter England Ultra Hoodie from Peter England. Trendy design, lasting comfort. This premium product offers great value for money.",Hoodie,1683,102,0,Clothing|Peter England|Hoodie
P00010,Silver Science Fiction Novel,Books,HarperCollins,1880.0,4.8,Expand your horizons with Silver Science Fiction Novel. Available from HarperCollins publications. This mid-range product offers great value for money.,Fiction,659,121,0,Books|HarperCollins|Fiction
P00011,Maybelline Max Perfume 500ml,Beauty,Maybelline,2010.0,3.8,Discover the magic of Maybelline Max Perfume 500ml. Trusted skincare from Maybelline. This mid-range product offers great value for money.,Perfume,1575,466,25,Beauty|Maybelline|Perfume
P00012,Stories of Premium Adventures,Books,Penguin,840.0,4.2,Expand your horizons with Stories of Premium Adventures. Available from Penguin publications. This budget-friendly product offers great value for money.,Fiction,1726,214,0,Books|Penguin|Fiction
P00013,Levis Ultra T-Shirt,Clothing,Levis,2420.0,4.4,Levis Ultra T-Shirt - Comfort meets fashion. Perfect for any occasion. This mid-range product offers great value for money.,T-Shirt,2047,330,0,Clothing|Levis|T-Shirt
