product_id,name,category,brand,price,rating,description
P00001,Nivea Silver Lipstick Set,Beauty,Nivea,540.0,4.4,Nivea Silver Lipstick Set - Your secret to radiant skin. Premium formulation by Nivea. This budget-friendly product offers great value for money.
P00002,Havells Smart Microwave Oven,Home & Kitchen,Havells,5510.0,3.7,Bring home Havells Smart Microwave Oven by Havells. Built for modern households. This premium product offers great value for money.
P00003,Yonex Eco Cycling Helmet,Sports,Yonex,13360.0,3.7,Elevate your game with Yonex Eco Cycling Helmet by Yonex. Professional grade quality. This premium product offers great value for money.
P00004,"Sony Smart TV 55"" Classic",Electronics,Sony,110730.0,3.6,"Experience cutting-edge technology with Sony Smart TV 55"" Classic. Features latest innovations from Sony. This premium product offers great value for money."
P00005,Haldirams Smart Honey 64g,Grocery,Haldirams,1680.0,3.4,Healthy living starts with Haldirams Smart Honey 64g. Fresh quality from Haldirams. This mid-range product offers great value for money.
P00006,Learn Eco in 30 Days,Books,Penguin,130.0,4.0,Dive into Learn Eco in 30 Days. An enriching read published by Penguin. This budget-friendly product offers great value for money.
P00007,"OnePlus Laptop Pro Series 65""",Electronics,OnePlus,134490.0,3.8,"Experience cutting-edge technology with OnePlus Laptop Pro Series 65"". Features latest innovations from OnePlus. This premium product offers great value for money."
P00008,Patanjali Premium Flour 32kg,Grocery,Patanjali,210.0,,Patanjali Premium Flour 32kg - Goodness in every bite. Premium selection from Patanjali. This budget-friendly product offers great value for money.
P00009,Peter England Ultra Hoodie,Clothing,Peter England,9740.0,3.5,"Express yourself with Peter England Ultra Hoodie from Peter England. Trendy design, lasting comfort. This premium product offers great value for money."
P00010,Silver Science Fiction Novel,Books,HarperCollins,1880.0,4.8,Expand your horizons with Silver Science Fiction Novel. Available from HarperCollins publications. This mid-range product offers great value for money.
P00011,Maybelline Max Perfume 500ml,Beauty,Maybelline,2010.0,,Discover the magic of Maybelline Max Perfume 500ml. Trusted skincare from Maybelline. This mid-range product offers great value for money.
P00012,Stories of Premium Adventures,Books,Penguin,840.0,4.2,Expand your horizons with Stories of Premium Adventures. Available from Penguin publications. This budget-friendly product offers great value for money.
