product_id,name,category,brand,price,rating,description,category_encoded,brand_encoded,product_idx,log_price,price_normalized,rating_normalized,unique_users,total_interactions,avg_user_rating,purchase_count,purchase_rate
P00001,Nivea Silver Lipstick Set,Beauty,Nivea,540.0,4.4,Nivea Silver Lipstick Set - Your secret to radiant skin. Premium formulation by Nivea. This budget-friendly product offers great value for money.,0,29,0,6.293419278846481,0.33716256897869495,0.8285714285714285,10,10,0.0,0.0,0.0
P00002,Havells Smart Microwave Oven,Home & Kitchen,Havells,5510.0,3.7,Bring home Havells Smart Microwave Oven by Havells. Built for modern households. This premium product offers great value for money.,5,15,1,8.614501373883236,0.610846986590831,0.6285714285714286,11,11,3.6,1.0,0.0909008271975275
P00003,Yonex Eco Cycling Helmet,Sports,Yonex,13360.0,3.7,Elevate your game with Yonex Eco Cycling Helmet by Yonex. Professional grade quality. This premium product offers great value for money.,6,51,2,9.500095294588894,0.7152695130268629,0.6285714285714286,6,6,0.0,0.0,0.0
P00004,"Sony Smart TV 55"" Classic",Electronics,Sony,110730.0,3.6,"Experience cutting-edge technology with Sony Smart TV 55"" Classic. Features latest innovations from Sony. This premium product offers great value for money.",3,45,3,11.614859115627624,0.9646264427045421,0.5999999999999999,4,5,4.1,2.0,0.3999200159968006
P00005,Haldirams Smart Honey 64g,Grocery,Haldirams,1680.0,3.4,Healthy living starts with Haldirams Smart Honey 64g. Fresh quality from Haldirams. This mid-range product offers great value for money.,4,12,4,7.427144133408616,0.47084281545370293,0.5428571428571427,10,10,4.1,1.0,0.09999000099990002
P00006,Learn Eco in 30 Days,Books,Penguin,130.0,4.0,Dive into Learn Eco in 30 Days. An enriching read published by Penguin. This budget-friendly product offers great value for money.,1,35,5,4.875197323201151,0.1699365795121784,0.7142857142857142,6,6,0.0,1.0,0.16663889351774702
P00007,"OnePlus Laptop Pro Series 65""",Electronics,OnePlus,134490.0,3.8,"Experience cutting-edge technology with OnePlus Laptop Pro Series 65"". Features latest innovations from OnePlus. This premium product offers great value for money.",3,30,6,11.809252561287014,0.9875478452161857,0.657142857142857,11,11,0.0,0.0,0.0
P00008,Patanjali Premium Flour 32kg,Grocery,Patanjali,210.0,3.7791808873720134,Patanjali Premium Flour 32kg - Goodness in every bite. Premium selection from Patanjali. This budget-friendly product offers great value for money.,4,33,7,5.351858133476067,0.22614081138212144,0.6511945392491465,13,13,3.6,1.0,0.07691716021844473
P00009,Peter England Ultra Hoodie,Clothing,Peter England,9740.0,3.5,"Express yourself with Peter England Ultra Hoodie from Peter England. Trendy design, lasting comfort. This premium product offers great value for money.",2,36,8,9.184099060770956,0.6780096309205728,0.5714285714285714,8,8,4.5,1.0,0.1249843769528809
P00010,Silver Science Fiction Novel,Books,HarperCollins,1880.0,4.8,Expand your horizons with Silver Science Fiction Novel. Available from HarperCollins publications. This mid-range product offers great value for money.,1,13,9,7.53955882930103,0.48409790481144216,0.9428571428571426,11,11,4.65,3.0,0.2727024815925825
P00011,Maybelline Max Perfume 500ml,Beauty,Maybelline,2010.0,3.778456014362657,Discover the magic of Maybelline Max Perfume 500ml. Trusted skincare from Maybelline. This mid-range product offers great value for money.,0,25,10,7.606387389772652,0.4919778224117904,0.6509874326750449,10,10,3.9,2.0,0.19998000199980004
P00012,Stories of Premium Adventures,Books,Penguin,840.0,4.2,Expand your horizons with Stories of Premium Adventures. Available from Penguin publications. This budget-friendly product offers great value for money.,1,35,11,6.734591659972948,0.38918227412111234,0.7714285714285714,6,6,0.0,0.0,0.0
P00013,Levis Ultra T-Shirt,Clothing,Levis,2420.0,4.4,Levis Ultra T-Shirt - Comfort meets fashion. Perfect for any occasion. This mid-range product offers great value for money.,2,22,12,7.791935956938058,0.5138563038545705,0.8285714285714285,4,4,0.0,0.0,0.0
P00014,Hot Wheels Elite Musical Toy,Toys,Hot Wheels,400.0,3.7,Spark imagination with Hot Wheels Elite Musical Toy from Hot Wheels. Safe and educational. This budget-friendly product offers great value for money.,7,16,13,5.993961427306569,0.3018527676264147,0.6285714285714286,10,10,4.35,2.0,0.19998000199980004
P00015,Nestle Silver Cooking Oil 1000L,Grocery,Nestle,100.0,5.0,Nestle Silver Cooking Oil 1000L - Goodness in every bite. Premium selection from Nestle. This budget-friendly product offers great value for money.,4,27,14,4.61512051684126,0.13927029268189545,0.9999999999999998,9,9,0.0,0.0,0.0
P00016,Yonex Ultra Swimming Goggles,Sports,Yonex,9600.0,4.1,Yonex Ultra Swimming Goggles - Engineered for athletes. Durable and high-performance. This premium product offers great value for money.,6,51,15,9.169622538697624,0.6763026691025649,0.7428571428571427,7,7,0.0,1.0,0.142836737608913
P00017,Nerf Elite Educational Kit,Toys,Nerf,300.0,3.9,Spark imagination with Nerf Elite Educational Kit from Nerf. Safe and educational. This budget-friendly product offers great value for money.,7,26,16,5.707110264748875,0.26802945153869856,0.6857142857142855,11,11,0.0,0.0,0.0
P00018,Havells Classic Air Fryer,Home & Kitchen,Havells,12920.0,4.1,Transform your kitchen with Havells Classic Air Fryer. Reliable performance by Havells. This premium product offers great value for money.,5,15,17,9.46660917372222,0.7113210833237162,0.7428571428571427,9,9,3.7,2.0,0.22219753360737698
P00019,Xiaomi Smartphone Plus 128GB,Electronics,Xiaomi,1640.0,3.6,Xiaomi Smartphone Plus 128GB - Perfect blend of style and performance. High-quality build with premium features. This mid-range product offers great value for money.,3,50,18,7.403061091090091,0.4680031255412402,0.5999999999999999,8,8,3.1,1.0,0.1249843769528809
P00020,Nerf Elite Doll House,Toys,Nerf,2350.0,3.4,Nerf Elite Doll House - Fun for all ages. Quality entertainment by Nerf. This mid-range product offers great value for money.,7,26,19,7.762596048540069,0.5103967641166751,0.5428571428571427,13,13,0.0,2.0,0.15383432043688947
P00021,Levis Deluxe Formal Shirt,Clothing,Levis,12530.0,4.6,Levis Deluxe Formal Shirt - Comfort meets fashion. Perfect for any occasion. This premium product offers great value for money.,2,22,20,9.435960853165286,0.7077072655357324,0.8857142857142855,16,16,0.0,1.0,0.06249609399412536
P00022,Apple Camera Silver 128MP,Electronics,Apple,70990.0,3.1,Upgrade your tech life with Apple Camera Silver 128MP by Apple. Engineered for excellence. This premium product offers great value for money.,3,2,21,11.170308387425273,0.9122083884671348,0.45714285714285713,14,14,4.7,2.0,0.14284693950432112
P00023,Samsung Smartwatch Royal Edition,Electronics,Samsung,86420.0,3.1,Experience cutting-edge technology with Samsung Smartwatch Royal Edition. Features latest innovations from Samsung. This premium product offers great value for money.,3,43,22,11.366985980814487,0.9353991203758358,0.45714285714285713,5,5,0.0,0.0,0.0
P00024,Decathlon Ultra Running Shoes,Sports,Decathlon,21330.0,3.8,Train like a pro with Decathlon Ultra Running Shoes. Premium sports gear from Decathlon. This premium product offers great value for money.,6,7,23,9.967916692691817,0.7704314683752223,0.657142857142857,5,5,0.0,0.0,0.0
P00025,Decathlon Plus Running Shoes,Sports,Decathlon,2820.0,3.3,Elevate your game with Decathlon Plus Running Shoes by Decathlon. Professional grade quality. This mid-range product offers great value for money.,6,7,24,7.944846711001996,0.5318863816196391,0.5142857142857142,10,10,0.0,0.0,0.0
P00026,"Xiaomi Laptop Royal Series 50""",Electronics,Xiaomi,1590.0,2.7,"Upgrade your tech life with Xiaomi Laptop Royal Series 50"" by Xiaomi. Engineered for excellence. This mid-range product offers great value for money.",3,50,25,7.372118028337787,0.4643545539863568,0.3428571428571429,6,6,3.8,1.0,0.16663889351774702
P00027,Peter England Essential Sneakers,Clothing,Peter England,2440.0,3.1,Step out in style with Peter England Essential Sneakers. Made with premium quality fabric by Peter England. This mid-range product offers great value for money.,2,36,26,7.80016307039296,0.5148263827498187,0.45714285714285713,5,5,5.0,1.0,0.1999600079984003
P00028,Nike Deluxe Polo Shirt,Clothing,Nike,3980.0,3.3,"Express yourself with Nike Deluxe Polo Shirt from Nike. Trendy design, lasting comfort. This mid-range product offers great value for money.",2,28,27,8.289288323000317,0.572500327236954,0.5142857142857142,9,9,3.3,1.0,0.11109876680368849
P00029,Reebok Advanced Fitness Band,Sports,Reebok,10120.0,4.1,Elevate your game with Reebok Advanced Fitness Band by Reebok. Professional grade quality. This premium product offers great value for money.,6,42,28,9.222367752188902,0.6825219851134274,0.7428571428571427,4,4,0.0,0.0,0.0
P00030,"Samsung Smart TV 50"" Basic",Electronics,Samsung,29950.0,3.7,"Samsung Smart TV 50"" Basic - Perfect blend of style and performance. High-quality build with premium features. This premium product offers great value for money.",3,43,29,10.307317991967832,0.8104510984985107,0.6285714285714286,21,21,3.1,2.0,0.09523356030665206
P00031,Oppo Smartphone Eco 500GB,Electronics,Oppo,88130.0,4.5,Upgrade your tech life with Oppo Smartphone Eco 500GB by Oppo. Engineered for excellence. This premium product offers great value for money.,3,31,30,11.386579622903268,0.9377094542220343,0.857142857142857,10,10,0.0,0.0,0.0
P00032,IFB Basic Water Purifier,Home & Kitchen,IFB,38270.0,2.4,Transform your kitchen with IFB Basic Water Purifier. Reliable performance by IFB. This premium product offers great value for money.,5,17,31,10.5524477082064,0.8393549376912894,0.25714285714285706,15,15,3.6,2.0,0.13332444503699753
P00033,Tata Neo Chocolate Pack,Grocery,Tata,1500.0,3.1,Pure and natural Tata Neo Chocolate Pack by Tata. Quality you can trust. This mid-range product offers great value for money.,4,46,32,7.313886831633462,0.4574883723933147,0.45714285714285713,12,12,4.4,1.0,0.08332638946754438
P00034,Reebok Plus Running Shoes,Sports,Reebok,6310.0,3.2,Elevate your game with Reebok Plus Running Shoes by Reebok. Professional grade quality. This premium product offers great value for money.,6,42,33,8.75004942158424,0.6268297855503497,0.4857142857142857,7,7,0.0,0.0,0.0
P00035,LG Bluetooth Speaker Basic,Electronics,LG,4310.0,4.0,Experience cutting-edge technology with LG Bluetooth Speaker Basic. Features latest innovations from LG. This mid-range product offers great value for money.,3,18,34,8.368925174747135,0.5818905015170441,0.7142857142857142,12,12,0.0,0.0,0.0
