interaction_id,user_id,product_id,interaction_type,timestamp,rating,session_id,device,search_query
1,U0132,P01603,add_to_cart,2025-12-22 16:51:44,,S1567,desktop,
2,U0159,P04495,add_to_cart,2026-03-05 15:51:44,,S1789,mobile,
3,U0437,P01963,view,2026-01-14 14:51:44,,S0233,desktop,
4,U0173,P04271,view,2025-10-04 00:51:44,,S0570,mobile,
5,U0183,P02894,view,2026-02-04 02:51:44,,S1936,desktop,
6,U0372,P00482,view,2025-12-27 14:51:44,,S1070,tablet,
7,U0274,P00248,view,2025-12-15 06:51:44,,S0213,tablet,
8,U0398,P01740,view,2025-10-16 23:51:44,,S0991,tablet,
9,U0383,P01740,purchase,2025-11-18 02:51:44,4.0,S0794,desktop,
10,U0329,P00331,click,2026-03-24 01:51:44,,S0728,mobile,
11,U0341,P02775,click,2026-03-23 09:51:44,,S1766,desktop,
12,U0044,P04970,click,2026-02-23 01:51:44,,S0279,desktop,
13,U0254,P02806,view,2026-03-15 23:51:44,,S0650,mobile,
14,U0160,P02404,view,2026-02-25 18:51:44,,S1924,desktop,
15,U0341,P01122,add_to_cart,2025-12-17 15:51:44,,S0575,desktop,
16,U0436,P04616,click,2025-11-17 10:51:44,,S1513,desktop,
17,U0209,P02776,view,2026-03-01 15:51:44,,S1908,tablet,
18,U0309,P02957,view,2026-01-16 09:51:44,,S0652,mobile,
19,U0094,P01762,view,2026-01-04 02:51:44,,S1546,tablet,
20,U0468,P04497,search,2025-09-29 02:51:44,,S0609,tablet,sports
21,U0337,P00427,view,2025-12-07 17:51:44,,S1348,desktop,
22,U0138,P01122,view,2025-10-25 19:51:44,,S0219,desktop,
23,U0022,P03319,click,2026-01-16 14:51:44,,S1211,tablet,
24,U0459,P00672,view,2026-02-04 23:51:44,,S1881,tablet,
25,U0359,P00138,click,2026-02-20 14:51:44,,S1512,tablet,
26,U0261,P00054,add_to_cart,2026-01-14 01:51:44,,S1628,tablet,
27,U0398,P04036,click,2026-03-09 06:51:44,,S0433,tablet,
28,U0342,P02261,view,2025-12-11 01:51:44,,S0843,tablet,
29,U0148,P03497,view,2025-10-21 04:51:44,,S0003,mobile,
30,U0208,P02232,add_to_cart,2025-10-28 14:51:44,,S1668,tablet,
31,U0298,P01071,add_to_cart,2026-01-24 12:51:44,,S1526,mobile,
32,U0375,P01091,wishlist,2026-01-13 16:51:44,,S1177,mobile,
33,U0334,P00141,click,2025-12-27 13:51:44,,S0916,mobile,
34,U0076,P01010,search,2025-12-31 06:51:44,,S0776,tablet,beauty
35,U0266,P01597,search,2026-02-15 13:51:44,,S0798,desktop,home & kitchen
36,U0097,P01989,click,2026-01-13 06:51:44,,S0101,desktop,
37,U0002,P00475,purchase,2026-03-08 20:51:44,5.0,S0593,mobile,
38,U0212,P01033,view,2026-02-07 06:51:44,,S1576,mobile,
39,U0243,P04339,view,2025-11-28 08:51:44,,S0621,tablet,
40,U0115,P03870,wishlist,2026-01-14 14:51:44,,S0984,mobile,
41,U0225,P00141,purchase,2025-10-10 04:51:44,5.0,S1943,tablet,
42,U0261,P00944,view,2025-12-20 03:51:44,,S0522,tablet,
43,U0051,P04173,purchase,2025-12-11 19:51:44,3.0,S1961,mobile,
44,U0124,P02066,purchase,2025-10-04 02:51:44,5.0,S1177,tablet,
45,U0472,P04413,view,2026-03-19 09:51:44,,S1574,tablet,
46,U0395,P00013,click,2026-02-05 16:51:44,,S1501,desktop,
47,U0370,P02058,add_to_cart,2026-01-14 01:51:44,,S0409,tablet,
48,U0206,P04483,click,2026-02-28 07:51:44,,S0967,tablet,
49,U0101,P02661,view,2025-12-28 08:51:44,,S0966,mobile,
50,U0273,P03511,wishlist,2026-03-19 21:51:44,,S0157,mobile,
51,U0290,P01895,click,2026-03-13 13:51:44,,S0957,desktop,
52,U0274,P00595,view,2025-11-04 05:51:44,,S1472,mobile,
53,U0114,P01790,click,2026-03-15 11:51:44,,S0024,tablet,
54,U0210,P04709,search,2026-01-30 17:51:44,,S0698,mobile,toys
55,U0314,P04495,add_to_cart,2026-01-22 18:51:44,,S0975,tablet,
56,U0142,P04095,purchase,2026-01-28 06:51:44,5.0,S0205,mobile,
57,U0258,P02395,view,2025-09-27 08:51:44,,S1915,desktop,
58,U0386,P01374,view,2026-02-27 23:51:44,,S1171,mobile,
59,U0342,P01176,view,2026-03-12 20:51:44,,S0368,mobile,
60,U0424,P02516,click,2025-10-06 05:51:44,,S0463,tablet,
61,U0069,P01592,click,2026-01-06 22:51:44,,S0885,mobile,
62,U0353,P03741,click,2026-02-09 08:51:44,,S0072,tablet,
63,U0090,P00836,view,2026-02-12 13:51:44,,S0150,mobile,
64,U0213,P01372,view,2025-11-10 21:51:44,,S1137,tablet,
65,U0272,P04848,search,2025-10-26 09:51:44,,S1816,desktop,toys
66,U0081,P04869,click,2025-10-30 13:51:44,,S1954,desktop,
67,U0218,P02132,view,2025-10-20 13:51:44,,S1897,tablet,
68,U0409,P00165,view,2026-01-08 07:51:44,,S1583,tablet,
69,U0239,P04763,view,2025-09-28 15:51:44,,S1845,mobile,
70,U0118,P04371,search,2026-02-24 02:51:44,,S0982,desktop,electronics
71,U0466,P00367,click,2025-11-07 12:51:44,,S1637,mobile,
72,U0124,P04165,search,2025-11-05 17:51:44,,S0495,tablet,sports
73,U0283,P02213,view,2025-11-04 15:51:44,,S1696,mobile,
74,U0023,P01193,purchase,2026-01-26 21:51:44,4.0,S1061,mobile,
75,U0320,P04987,click,2026-01-01 05:51:44,,S0338,tablet,
76,U0142,P02767,view,2026-03-22 19:51:44,,S1588,tablet,
77,U0354,P00702,view,2025-10-12 01:51:44,,S0167,mobile,
78,U0353,P03456,purchase,2025-11-06 23:51:44,5.0,S1613,tablet,
79,U0384,P00212,add_to_cart,2025-12-24 09:51:44,,S0777,tablet,
80,U0059,P04129,add_to_cart,2026-01-09 11:51:44,,S0327,mobile,
81,U0280,P04919,add_to_cart,2025-11-06 04:51:44,,S0589,desktop,
82,U0268,P00628,view,2026-01-10 03:51:44,,S1274,mobile,
83,U0161,P04130,click,2026-03-18 18:51:44,,S1228,mobile,
84,U0002,P02915,view,2025-12-27 17:51:44,,S0741,tablet,
85,U0265,P03345,click,2026-02-21 12:51:44,,S0846,mobile,
86,U0409,P02642,click,2026-03-12 08:51:44,,S0636,mobile,
87,U0402,P04410,add_to_cart,2025-10-15 04:51:44,,S0109,desktop,
88,U0107,P04484,click,2025-12-24 19:51:44,,S1582,tablet,
89,U0399,P01088,view,2026-01-15 18:51:44,,S1901,mobile,
90,U0444,P04809,search,2026-03-23 11:51:44,,S1282,tablet,beauty
91,U0133,P01454,click,2025-11-23 04:51:44,,S1804,mobile,
92,U0265,P01392,click,2026-03-08 07:51:44,,S0549,mobile,
93,U0080,P03329,add_to_cart,2026-01-07 20:51:44,,S0350,tablet,
94,U0293,P03297,view,2026-03-19 12:51:44,,S1802,desktop,
95,U0388,P03017,add_to_cart,2025-11-09 06:51:44,,S0439,mobile,
96,U0159,P02064,view,2026-03-14 07:51:44,,S0598,tablet,
97,U0200,P02491,search,2026-03-14 14:51:44,,S0826,mobile,grocery
98,U0370,P04557,add_to_cart,2026-01-08 13:51:44,,S1965,tablet,
99,U0012,P02933,view,2026-01-12 10:51:44,,S1051,tablet,
