text,intent,entities
hi,greeting,
hello,greeting,
hey,greeting,
good morning,greeting,
good afternoon,greeting,
good evening,greeting,
hi there,greeting,
hello there,greeting,
hey there,greeting,
greetings,greeting,
howdy,greeting,
what's up,greeting,
sup,greeting,
yo,greeting,
hiya,greeting,
hello bot,greeting,
hi bot,greeting,
good day,greeting,
hey bot,greeting,
hello shopping assistant,greeting,
namaste,greeting,
bye,goodbye,
goodbye,goodbye,
see you later,goodbye,
see ya,goodbye,
take care,goodbye,
bye bye,goodbye,
good night,goodbye,
have a nice day,goodbye,
until next time,goodbye,
catch you later,goodbye,
farewell,goodbye,
see you soon,goodbye,
bye for now,goodbye,
gotta go,goodbye,
talk to you later,goodbye,
peace out,goodbye,
later,goodbye,
show me camera,search_product,category:camera
show me electronics,search_product,category:electronics
show me makeup,search_product,category:makeup
show me dolls,search_product,category:dolls
show me grocery,search_product,category:grocery
show me shirts,search_product,category:shirts
show me games,search_product,category:games
show me appliances,search_product,category:appliances
show me snacks,search_product,category:snacks
show me lego,search_product,category:lego
i want to buy sneakers,search_product,category:sneakers
i want to buy lego,search_product,category:lego
i want to buy novels,search_product,category:novels
i want to buy clothing,search_product,category:clothing
i want to buy shoes,search_product,category:shoes
i want to buy games,search_product,category:games
i want to buy snacks,search_product,category:snacks
i want to buy dress,search_product,category:dress
i want to buy food,search_product,category:food
i want to buy running,search_product,category:running
looking for games,search_product,category:games
looking for laptops,search_product,category:laptops
looking for sneakers,search_product,category:sneakers
looking for sports,search_product,category:sports
looking for lego,search_product,category:lego
looking for smartphones,search_product,category:smartphones
looking for snacks,search_product,category:snacks
looking for toys,search_product,category:toys
looking for grocery,search_product,category:grocery
looking for beverages,search_product,category:beverages
find me beauty,search_product,category:beauty
find me fitness,search_product,category:fitness
find me sports,search_product,category:sports
find me dress,search_product,category:dress
find me books,search_product,category:books
find me clothing,search_product,category:clothing
find me toys,search_product,category:toys
find me makeup,search_product,category:makeup
find me lego,search_product,category:lego
find me home & kitchen,search_product,category:home & kitchen
search for food,search_product,category:food
search for grocery,search_product,category:grocery
search for books,search_product,category:books
search for jeans,search_product,category:jeans
search for textbooks,search_product,category:textbooks
search for novels,search_product,category:novels
search for fitness,search_product,category:fitness
search for furniture,search_product,category:furniture
search for perfume,search_product,category:perfume
search for snacks,search_product,category:snacks
i need dress,search_product,category:dress
i need grocery,search_product,category:grocery
i need fiction,search_product,category:fiction
i need sneakers,search_product,category:sneakers
i need camera,search_product,category:camera
i need smartphones,search_product,category:smartphones
i need fitness,search_product,category:fitness
i need perfume,search_product,category:perfume
i need shirts,search_product,category:shirts
i need tv,search_product,category:tv
can you show me sneakers,search_product,category:sneakers
can you show me snacks,search_product,category:snacks
can you show me food,search_product,category:food
can you show me fitness,search_product,category:fitness
can you show me toys,search_product,category:toys
can you show me electronics,search_product,category:electronics
can you show me games,search_product,category:games
can you show me beauty,search_product,category:beauty
can you show me fiction,search_product,category:fiction
can you show me grocery,search_product,category:grocery
do you have grocery,search_product,category:grocery
do you have toys,search_product,category:toys
do you have jeans,search_product,category:jeans
do you have headphones,search_product,category:headphones
do you have dress,search_product,category:dress
do you have sports,search_product,category:sports
do you have food,search_product,category:food
do you have sneakers,search_product,category:sneakers
do you have games,search_product,category:games
do you have smartphones,search_product,category:smartphones
i'm looking for camera,search_product,category:camera
i'm looking for perfume,search_product,category:perfume
i'm looking for makeup,search_product,category:makeup
i'm looking for shoes,search_product,category:shoes
i'm looking for beverages,search_product,category:beverages
i'm looking for games,search_product,category:games
i'm looking for tv,search_product,category:tv
i'm looking for kitchen,search_product,category:kitchen
i'm looking for clothing,search_product,category:clothing
i'm looking for smartphones,search_product,category:smartphones
show dolls,search_product,category:dolls
show textbooks,search_product,category:textbooks
show furniture,search_product,category:furniture
show running,search_product,category:running
show shoes,search_product,category:shoes
show food,search_product,category:food
show fitness,search_product,category:fitness
show tv,search_product,category:tv
show fiction,search_product,category:fiction
show appliances,search_product,category:appliances
find games,search_product,category:games
find food,search_product,category:food
find fiction,search_product,category:fiction
find perfume,search_product,category:perfume
find shoes,search_product,category:shoes
find tv,search_product,category:tv
find snacks,search_product,category:snacks
find toys,search_product,category:toys
find sneakers,search_product,category:sneakers
find skincare,search_product,category:skincare
get me perfume,search_product,category:perfume
get me beverages,search_product,category:beverages
get me appliances,search_product,category:appliances
get me camera,search_product,category:camera
get me novels,search_product,category:novels
get me sneakers,search_product,category:sneakers
get me furniture,search_product,category:furniture
get me grocery,search_product,category:grocery
get me dolls,search_product,category:dolls
get me smartphones,search_product,category:smartphones
i want appliances,search_product,category:appliances
i want books,search_product,category:books
i want fiction,search_product,category:fiction
i want gym,search_product,category:gym
i want shirts,search_product,category:shirts
i want perfume,search_product,category:perfume
i want games,search_product,category:games
i want shoes,search_product,category:shoes
i want jeans,search_product,category:jeans
i want camera,search_product,category:camera
search jeans,search_product,category:jeans
search skincare,search_product,category:skincare
search smartphones,search_product,category:smartphones
search toys,search_product,category:toys
search beauty,search_product,category:beauty
search laptops,search_product,category:laptops
search novels,search_product,category:novels
search shoes,search_product,category:shoes
search lego,search_product,category:lego
search running,search_product,category:running
browse fitness,search_product,category:fitness
browse snacks,search_product,category:snacks
browse grocery,search_product,category:grocery
browse electronics,search_product,category:electronics
browse fiction,search_product,category:fiction
browse lego,search_product,category:lego
